legal_name,Phone,Email 1,Email 2,Organisation,Role,,Orgnaisation Kind (applies to all committees),Role,,,,,,,,Role,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,Organsiation,,,Organisation,Role 1,Role 2,,,,,,,,,,,
Lynne Brown,021 487 1744,lybrown@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,,,,,,,,Member, Standing Committee on Premier, Gender Committee,Budget Committee, Disabled and Youth Committee,,,,,,,,ANC,Member,,,,,,,,,,,,
Vuyiwe Hani,021 487 1880,vuyiwe.hani@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Community Development,,,,,,,Member, Disabled and Youth Committee,,Gender Committee,,,,,,,,,ANC,Member,,,,,,,,,,,,
Ntombizodwa Magwaza,021 487 1746,nmagwaza@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Budget Committee, Disabled and Youth Committee,,,,,,Member, Standing Committee on Premier, Gender Committee, Standing Committee on Social Development,,,,,,,,,ANC,Member,,,,,,,,,,,,
Ellen Prins,021 487 1610,eprins@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,Standing Committee on Finance and Economic Development,,,,,,,Member, Standing Committee on Agriculture,,,,,,,,,,,ANC,Member,,,,,,,,,,,,
Millicent Tingwe,021 487 1704,mtingwe@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Public Accounts Committee,,,,,,,Member, Standing Committee on Education,Rules Committee,,,,,,,,,,ANC,Member,Whip,,,,,,,,,,,
Buyelwa Tshungwana,021 487 1840,mmbalo@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member,,,,,,,,Member,,,,,,,,,,,,ANC,Member,,,,,,,,,,,,
Joyce Witbooi,021 487 1842,jowitbooi@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Standing Committee on Education,,,,,,,Member,Standing Committee on Cultural Affairs and Sport, Petitions Committee,,,,,,,,,,ANC,Member,,,,,,,,,,,,
Dorothea Gopie,021 487 1786,dgopie@wcpp.gov.za,,Western Cape Provincial Legislature,Member of the Provincial Legislature,,Western Cape Provincial Legislature Committee,Alternate Member, Petitions Committee,,,,,,,Member,Standing Committee on Community Safety,,,,,,,,,,,ANC,Member,,,,,,,,,,,,
Helen Zille,021 483 4705/6,,,Western Cape Provincial Legislature,Premier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theuns Botha,021 483 5417,,,Western Cape Provincial Legislature,Minister for Health and Leader of Government Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Meyer,021 483 9800,,,Western Cape Provincial Legislature,Minister for Cultural Affairs & Sport (also responsible for International Relations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerrit van Rensburg,021 483 4700,,,Western Cape Provincial Legislature,Minister for Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Carlisle,021 483 2200,,,Western Cape Provincial Legislature,Minister for Transport & Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bongikosi Madikizela,021 483 4466,,,Western Cape Provincial Legislature,Minister for Human Settlements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Winde,021 483 3531,,,Western Cape Provincial Legislature,"Minister for Finance, Economic Development & Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Bredell,021 483 3915,,,Western Cape Provincial Legislature,"Minister for Local Government, Environmental Affairs & Development Planning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Fritz,021 483 3858,,,Western Cape Provincial Legislature,Minister for Social Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Grant,021 467 2523,,,Western Cape Provincial Legislature,Minister for Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Plato,021 483 3871,,,Western Cape Provincial Legislature,Minister for Community Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
