legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
LOUISA LORATO MABE,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the Finance and Provincial Affairs Select Committee
LOUISA LORATO MABE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
MANKETSE TLHAPE,,,Political Party,ANC,Party Member
MANKETSE TLHAPE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Local Government and Traditional Affairs
MANKETSE TLHAPE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
MOHLOPHI MAPULANE,,,Political Party,ANC,Party Member
MOHLOPHI MAPULANE,Province,North West,Provincial Legislature,North West Provincial Legislature,Deputy Speaker
MOHLOPHI MAPULANE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
MOSETSANAGAPE MOKOMELE-MOTHIBI,,,Political Party,ANC,Party Member
MOSETSANAGAPE MOKOMELE-MOTHIBI,Province,North West,Provincial Legislature,North West Provincial Legislature,"Chair of the Economic Development, Conservation, Environment and Tourism Executive Committee"
MOSETSANAGAPE MOKOMELE-MOTHIBI,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
MOTLALEPULA ROSHO,,,Political Party,ANC,Party Member
MOTLALEPULA ROSHO,Province,North West,Provincial Legislature,North West Provincial Legislature,"Member of the Executive Committee: Economic Development, Conservation, Environment and Tourism"
MOTLALEPULA ROSHO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
NANDI MASHORI,,,Political Party,COPE,Party Member
NANDI MASHORI,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
NIKIWE NUM,,,Political Party,COPE,Party Member
NIKIWE NUM,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
NONO MALOYI,,,Political Party,ANC,Party Member
NONO MALOYI,Province,North West,Provincial Legislature,North West Provincial Legislature,"Member of the Executive Committee: Human Settlement, Public Safety and Liason"
NONO MALOYI,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
OLEFILE SEFAKO,,,Political Party,ANC,Party Member
OLEFILE SEFAKO,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the Petitions Committee
OLEFILE SEFAKO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
PATRICK PELELE,,,Political Party,ANC,Party Member
PATRICK PELELE,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of Chairs
PATRICK PELELE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
PAUL SEEGOE,,,Political Party,ANC,Party Member
PAUL SEEGOE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Finance
PAUL SEEGOE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
RAYMOND ELISHA,,,Political Party,ANC,Party Member
RAYMOND ELISHA,Province,North West,Provincial Legislature,North West Provincial Legislature,"Member of the Executive Committee: Public Works, Roads and Transport"
RAYMOND ELISHA,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
S. P. MOTSWENYANE,,,Political Party,DA,Party Member
S. P. MOTSWENYANE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
SUPRA MAHUMAPELO,,,Political Party,ANC,Party Member
SUPRA MAHUMAPELO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
SUPRA MAHUMAPELO,Province,North West,Provincial Legislature,North West Provincial Legislature,Speaker
TEBOGO MODISE,,,Political Party,ANC,Party Member
TEBOGO MODISE,Province,North West,Provincial Legislature,North West Provincial Legislature,"Member of the Executive Committee: Sports, Arts and Culture"
TEBOGO MODISE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
TEDIEYE MOERANE,,,Political Party,UCDP,Party Member
TEDIEYE MOERANE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
THANDI MODISE,,,Political Party,ANC,Party Member
THANDI MODISE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
THANDI MODISE,Province,North West,Provincial Legislature,North West Provincial Legislature,Premier
TSHEGOFATSO MOTSHEGARE,,,Political Party,UCDP,Party Member
TSHEGOFATSO MOTSHEGARE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
VICTOR KHESWA,,,Political Party,COPE,Party Member
VICTOR KHESWA,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
WENDY MATSEMELA,,,Political Party,ANC,Party Member
WENDY MATSEMELA,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Education
WENDY MATSEMELA,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
