legal_name,place_type,place_name,organisation_type,organisation_name,position_title
Maseko Lindiwe,,,Political Party,ANC,Party Member
Maseko Lindiwe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Matlou Moeng,,,Political Party,ANC,Party Member
Matlou Moeng,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mayathula-Khoza Nandi,,,Political Party,ANC,Party Member
Mayathula-Khoza Nandi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mayekiso Moses,,,Political Party,COPE,Party Member
Mayekiso Moses,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mazibuko Faith,,,Political Party,ANC,Party Member
Mazibuko Faith,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mbatha Valentine,,,Political Party,ANC,Party Member
Mbatha Valentine,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mbongeni Radebe,,,Political Party,ANC,Party Member
Mbongeni Radebe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mekgwe Ntombi,,,Political Party,ANC,Party Member
Mekgwe Ntombi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Meshoe Lefokane,,,Political Party,ACDP,Party Member
Meshoe Lefokane,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mgcina Alfred,,,Political Party,ANC,Party Member
Mgcina Alfred,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mike Moriarty,,,Political Party,DA,Party Member
Mike Moriarty,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Moerane Neliswe,,,Political Party,ANC,Party Member
Moerane Neliswe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mofokeng Jacueline,,,Political Party,ANC,Party Member
Mofokeng Jacueline,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mogale Refiloe,,,Political Party,ANC,Party Member
Mogale Refiloe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Moiloa Uhuru,,,Political Party,ANC,Party Member
Moiloa Uhuru,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mokonyane Nomvula,,,Political Party,ANC,Party Member
Mokonyane Nomvula,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Ndaba Nonhlanhla,,,Political Party,ANC,Party Member
Ndaba Nonhlanhla,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Ndzuta Refiloe,,,Political Party,ANC,Party Member
Ndzuta Refiloe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Neil Campbell,,,Political Party,DA,Party Member
Neil Campbell,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Ngwenya Steward,,,Political Party,ANC,Party Member
Ngwenya Steward,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Nhlapo Nompi,,,Political Party,ANC,Party Member
Nhlapo Nompi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Nkabinde Thuliswa,,,Political Party,ANC,Party Member
Nkabinde Thuliswa,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Nkomfe Mandla,,,Political Party,ANC,Party Member
Nkomfe Mandla,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Papo Hope,,,Political Party,ANC,Party Member
Papo Hope,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Patricia Mokgohlwa,,,Political Party,DA,Party Member
Patricia Mokgohlwa,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Paul Willemburg,,,Political Party,DA,Party Member
Paul Willemburg,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Pekane Joyce,,,Political Party,ANC,Party Member
Pekane Joyce,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Pricilla Masepe,,,Political Party,ANC,Party Member
Pricilla Masepe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Ralehoko Nomantu,,,Political Party,ANC,Party Member
Ralehoko Nomantu,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Rose Guhluza,,,Political Party,ID,Party Member
Rose Guhluza,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Senokoanyane Doreen,,,Political Party,ANC,Party Member
Senokoanyane Doreen,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Shope-Mafole Lyndall,,,Political Party,COPE,Party Member
Shope-Mafole Lyndall,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Sikhakhane Nokuthula,,,Political Party,ANC,Party Member
Sikhakhane Nokuthula,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Sizakele Nkosi-Malobane,,,Political Party,ANC,Party Member
Sizakele Nkosi-Malobane,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Sodlulashe-Motau Clara,,,Political Party,COPE,Party Member
Sodlulashe-Motau Clara,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Solly Nkhi,,,Political Party,DA,Party Member
Solly Nkhi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Thokozile Magagula,,,Political Party,ANC,Party Member
Thokozile Magagula,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Thomas Walters,,,Political Party,DA,Party Member
Thomas Walters,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Tlou Maggie,,,Political Party,ANC,Party Member
Tlou Maggie,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Tsotetsi Godfrey,,,Political Party,ANC,Party Member
Tsotetsi Godfrey,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Vadi Ismail,,,Political Party,ANC,Party Member
Vadi Ismail,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Wessels Tersia,,,Political Party,COPE,Party Member
Wessels Tersia,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Xayiya Mxolisi,,,Political Party,ANC,Party Member
Xayiya Mxolisi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
