legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Mr Marule Otto Jacob,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Masemola Namane Dickson,,,Party Member,ANC,Party Member
Mr Masemola Namane Dickson,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Public Works
Mr Masemola Namane Dickson,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mashamba Tintswalo Godwin George,,,Party Member,ANC,Party Member
Mr Mashamba Tintswalo Godwin George,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Agriculture Executive Committee
Mr Mashamba Tintswalo Godwin George,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Masoga Matjie Lehlogonolo Alfred,,,Party Member,ANC,Party Member
Mr Masoga Matjie Lehlogonolo Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Transport
Mr Masoga Matjie Lehlogonolo Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Masondo David,,,Party Member,ANC,Party Member
Mr Masondo David,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mathabatha Stanley Chupu,,,Party Member,ANC,Party Member
Mr Mathabatha Stanley Chupu,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mathabatha Stanley Chupu,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Premier
Mr Matlala Jack Lesiba,,,Party Member,ANC,Party Member
Mr Matlala Jack Lesiba,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Midiavhathu Prince Kennedy Tshivhase ,,,Party Member,ANC,Party Member
Mr Midiavhathu Prince Kennedy Tshivhase ,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Moloto P.Pitsi,,,Party Member,ANC,Party Member
Mr Moloto P.Pitsi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mothupi Mothebe Richard,,,Party Member,ANC,Party Member
Mr Mothupi Mothebe Richard,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Mothupi Mothebe Richard,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,MPL
Mr Motsepe Nkomotana Clifford,,,Party Member,ANC,Party Member
Mr Motsepe Nkomotana Clifford,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Nemadzivhanani Maxwell Humbelani,,,Party Member,ANC,Party Member
Mr Nemadzivhanani Maxwell Humbelani,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Public works Executive Committee
Mr Nemadzivhanani Maxwell Humbelani,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Ngobeni Dengeza Derrick,,,Party Member,ANC,Party Member
Mr Ngobeni Dengeza Derrick,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Public Accounts Executive Committee
Mr Ngobeni Dengeza Derrick,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Nong Kwena Elias,,,Party Member,ANC,Party Member
Mr Nong Kwena Elias,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Nong Kwena Elias,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Speaker
Mr Phala Kgolane Alfred,,,Party Member,ANC,Party Member
Mr Phala Kgolane Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Treasury
Mr Phala Kgolane Alfred,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Ratshitanga Rashaka Frank,,,Party Member,ANC,Party Member
Mr Ratshitanga Rashaka Frank,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: PPP Committee
Mr Ratshitanga Rashaka Frank,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Sekoati Charles Seaparo ,,,Party Member,ANC,Party Member
Mr Sekoati Charles Seaparo ,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Economic Development
Mr Sekoati Charles Seaparo ,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Sikhutshi Patrick,,,Party Member,COPE,Party Member
Mr Sikhutshi Patrick,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Tsiane Kgodumo Jan,,,Party Member,ANC,Party Member
Mr Tsiane Kgodumo Jan,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chief whip
Mr Tsiane Kgodumo Jan,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Radzilani F.Florance,,,Party Member,ANC,Party Member
Ms Radzilani F.Florance,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Desiree van der Walt,,,Party Member,DA,Party Member
Ms Desiree van der Walt,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Kekana P.Sharon,,,Party Member,ANC,Party Member
Ms Kekana P.Sharon,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Kennedy Meisie,,,Party Member,DA,Party Member
Ms Kennedy Meisie,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Kgalamadi Mamoyagale Getrude,,,Party Member,ANC,Party Member
Ms Kgalamadi Mamoyagale Getrude,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Letsatsi-Duba D.B,,,Party Member,ANC,Party Member
Ms Letsatsi-Duba D.B,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Health & Social
Ms Letsatsi-Duba D.B,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Lubengo Lourane Marubini,,,Party Member,ANC,Party Member
Ms Lubengo Lourane Marubini,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Lubengo Lourane Marubini,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Whip - Parliamentary Affairs
Ms Mahlo Nhlagonwe Patricia,,,Party Member,ANC,Party Member
Ms Mahlo Nhlagonwe Patricia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mahlo Nhlagonwe Patricia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Whip - Constituencies
Ms Makwena Lydia Ngwenya,,,Party Member,ANC,Party Member
Ms Makwena Lydia Ngwenya,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Deputy Chief Whip
Ms Makwena Lydia Ngwenya,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Maluleke Boitumelo Joyce,,,Party Member,ANC,Party Member
Ms Maluleke Boitumelo Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Education Committee
Ms Maluleke Boitumelo Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Marutha Maite Rebecca,,,Party Member,ANC,Party Member
Ms Marutha Maite Rebecca,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Quality of Life Executive Committee
Ms Marutha Maite Rebecca,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mashamba Happy Joyce,,,Party Member,ANC,Party Member
Ms Mashamba Happy Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,"Member of the Executive Committee: Safety, Security & Liaison"
Ms Mashamba Happy Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Matshoge Bertha Amanda Joyce,,,Party Member,ANC,Party Member
Ms Matshoge Bertha Amanda Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Programming and Disciplinary Executive Committee
Ms Matshoge Bertha Amanda Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Deputy Speaker.
Ms Matshoge Bertha Amanda Joyce,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mhlari Nomvula Pamela,,,Party Member,ANC,Party Member
Ms Mhlari Nomvula Pamela,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Health & Social Executive Committee
Ms Mhlari Nomvula Pamela,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Mohlala Thabitha,,,Party Member,ANC,Party Member
Ms Mohlala Thabitha,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Moraka Anna Thandi,,,Party Member,ANC,Party Member
Ms Moraka Anna Thandi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Ndalane Nanda Anna,,,Party Member,ANC,Party Member
Ms Ndalane Nanda Anna,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,"Chairperson: Sport, Arts and Culture Executive Committee"
Ms Ndalane Nanda Anna,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Raganya Mokgadi Magret,,,Party Member,COPE,Party Member
Ms Raganya Mokgadi Magret,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Ramadwa Matodzi Mirriam,,,Party Member,ANC,Party Member
Ms Ramadwa Matodzi Mirriam,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,"Member of the Executive Committee: Sport, Arts & Culture"
Ms Ramadwa Matodzi Mirriam,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Ravhuanzwo Tshilidzi Merylene,,,Party Member,COPE,Party Member
Ms Ravhuanzwo Tshilidzi Merylene,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms Semenya Machwene Rosinah,,,Party Member,ANC,Party Member
Ms Semenya Machwene Rosinah,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: Agriculture
Ms Semenya Machwene Rosinah,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms. Matamela Sophy,,,Party Member,ANC,Party Member
Ms. Matamela Sophy,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Ms. Matamela Sophy,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,MPL
