legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Matlou Moeng,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mayathula-Khoza Nandi,,,Political Party,ANC,Party Member
Mayathula-Khoza Nandi,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mayekiso Moses,,,Political Party,COPE,Party Member
Mayekiso Moses,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mazibuko Faith,,,Political Party,ANC,Party Member
Mazibuko Faith,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mbatha Valentine,,,Political Party,ANC,Party Member
Mbatha Valentine,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mbongeni Radebe,,,Political Party,ANC,Party Member
Mbongeni Radebe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mekgwe Ntombi,,,Political Party,ANC,Party Member
Mekgwe Ntombi,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Meshoe Lefokane,,,Political Party,ACDP,Party Member
Meshoe Lefokane,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mgcina Alfred,,,Political Party,ANC,Party Member
Mgcina Alfred,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mike Moriarty,,,Political Party,DA,Party Member
Mike Moriarty,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Moerane Neliswe,,,Political Party,ANC,Party Member
Moerane Neliswe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mofokeng Jacueline,,,Political Party,ANC,Party Member
Mofokeng Jacueline,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mogale Refiloe,,,Political Party,ANC,Party Member
Mogale Refiloe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Moiloa Uhuru,,,Political Party,ANC,Party Member
Moiloa Uhuru,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Mokonyane Nomvula,,,Political Party,ANC,Party Member
Mokonyane Nomvula,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Ndaba Nonhlanhla,,,Political Party,ANC,Party Member
Ndaba Nonhlanhla,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Ndzuta Refiloe,,,Political Party,ANC,Party Member
Ndzuta Refiloe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Neil Campbell,,,Political Party,DA,Party Member
Neil Campbell,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Ngwenya Steward,,,Political Party,ANC,Party Member
Ngwenya Steward,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Nhlapo Nompi,,,Political Party,ANC,Party Member
Nhlapo Nompi,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Nkabinde Thuliswa,,,Political Party,ANC,Party Member
Nkabinde Thuliswa,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Nkomfe Mandla,,,Political Party,ANC,Party Member
Nkomfe Mandla,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Papo Hope,,,Political Party,ANC,Party Member
Papo Hope,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Patricia Mokgohlwa,,,Political Party,DA,Party Member
Patricia Mokgohlwa,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Paul Willemburg,,,Political Party,DA,Party Member
Paul Willemburg,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Pekane Joyce,,,Political Party,ANC,Party Member
Pekane Joyce,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Pricilla Masepe,,,Political Party,ANC,Party Member
Pricilla Masepe,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Ralehoko Nomantu,,,Political Party,ANC,Party Member
Ralehoko Nomantu,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Rose Guhluza,,,Political Party,ID,Party Member
Rose Guhluza,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Senokoanyane Doreen,,,Political Party,ANC,Party Member
Senokoanyane Doreen,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Shope-Mafole Lyndall,,,Political Party,COPE,Party Member
Shope-Mafole Lyndall,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Sikhakhane Nokuthula,,,Political Party,ANC,Party Member
Sikhakhane Nokuthula,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Sizakele Nkosi-Malobane,,,Political Party,ANC,Party Member
Sizakele Nkosi-Malobane,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Sodlulashe-Motau Clara,,,Political Party,COPE,Party Member
Sodlulashe-Motau Clara,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Solly Nkhi,,,Political Party,DA,Party Member
Solly Nkhi,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Thokozile Magagula,,,Political Party,ANC,Party Member
Thokozile Magagula,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Thomas Walters,,,Political Party,DA,Party Member
Thomas Walters,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Tlou Maggie,,,Political Party,ANC,Party Member
Tlou Maggie,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Tsotetsi Godfrey,,,Political Party,ANC,Party Member
Tsotetsi Godfrey,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Vadi Ismail,,,Political Party,ANC,Party Member
Vadi Ismail,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Wessels Tersia,,,Political Party,COPE,Party Member
Wessels Tersia,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
Xayiya Mxolisi,,,Political Party,ANC,Party Member
Xayiya Mxolisi,Province,Gauteng,Provincial Legislature,Gauteng Provincial Legislature,Provincial Legislature Member
