legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Human Settlement,Committee Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Agriculture and environmental Planning,Alternate Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Local Government Oversight,Alternate Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Local Government,Alternate Member
Athol Trollip,Province,Eastern Cape,Political Party,DA,Party Leader in Provincial Legislature
Athol Trollip,Province,Eastern Cape,Political Party,DA,Party Member
Athol Trollip,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
B Alexander,,,Political Party,DA,Party Member
B Alexander,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
B Khompela,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Safety
B Khompela,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
BOITUMELO MOILOA,,,Political Party,ANC,Party Member
BOITUMELO MOILOA,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Boers Joggie,,,Political Party,ANC,Party Member
Boers Joggie,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Bongikosi Madikizela,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Minister for Human Settlements
Bonginkosi Dlamini,,,Political Party,IFP,Party Member
Bonginkosi Dlamini,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Bulelwa Tunyiswa,Province,Eastern Cape,Political Party,ANC,Party Member
Bulelwa Tunyiswa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Busisiwe Makaula,Province,Eastern Cape,Political Party,ANC,Party Member
Busisiwe Makaula,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Buyelwa Tshungwana,,,Political Party,ANC,Party Member
Buyelwa Tshungwana,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
C Mokitlane,,,Political Party,COPE,Party Leader of Provincial Legislature
C Mokitlane,,,Political Party,COPE,Party Member
C Mokitlane,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
CHINA DODOVU,,,Political Party,ANC,Party Member
CHINA DODOVU,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the Agriculture and Rural Development Executive Committee
CHINA DODOVU,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
CHRIS HATTINGH,,,Political Party,DA,Party Member
CHRIS HATTINGH,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
CJ van Rooyen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Deputy Chief Whip
CJ van Rooyen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
COLLEN MAINE,,,Political Party,ANC,Party Member
COLLEN MAINE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Social Development
COLLEN MAINE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Carol Beerwinkel,,,Political Party,ANC,Party Member
Carol Beerwinkel,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Carol Beerwinkel,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Carol Beerwinkel,Province,Western Cape,Western Cape Provincial Committee,Economic Development and Tourism,Committee Member
Carol Beerwinkel,Province,Western Cape,Western Cape Provincial Committee,Provincial Treasury,Committee Member
Carol Beerwinkel,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government Oversight,Committee Member
Carol Beerwinkel,Province,Western Cape,Western Cape Provincial Legislature Committee,Aesthetics Committee,Alternate Member
Carol Beerwinkel,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Cathleen Labuschagne,,,Political Party,DA,Party Member
Cathleen Labuschagne,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Petitions Committee,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Public Accounts Committee,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Development,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Education,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Legislature Committee,Cultural Affairs and Sport,Alternate Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Legislature Committee,Disabled and Youth Committee,Alternate Member
Cathleen Labuschagne,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Chris Stali,,,Political Party,ANC,Party Member
Chris Stali,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Chris Stali,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Chris Stali,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Chris Stali,Province,Western Cape,Western Cape Provincial Committee,Transport and Public Works,Committee Member
Chris Stali,Province,Western Cape,Western Cape Provincial Legislature Committee,Disabled and Youth Committee,Alternate Member
Chris Stali,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Christian Martin,Province,Eastern Cape,Political Party,ANC,Party Member
Christian Martin,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Chueu Patricia,,,Political Party,ANC,Party Member
Chueu Patricia,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Creecy Barbara,,,Political Party,ANC,Party Member
Creecy Barbara,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
D Kgothule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,"Member of the Executive Committee: Sports, Arts"
D Kgothule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
DESBO MOHONO,,,Political Party,ANC,Party Member
DESBO MOHONO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Agriculture and Rural Development
DESBO MOHONO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
DR. MAGOME MASIKE,,,Political Party,ANC,Party Member
DR. MAGOME MASIKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Health
DR. MAGOME MASIKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Dacre Haddon,Province,Eastern Cape,Political Party,DA,Party Member
Dacre Haddon,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Daniel Plato,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Minister for Community Safety
Deborah Komose,Province,Eastern Cape,Political Party,ANC,Party Member
Deborah Komose,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Dennis Sehloho Neer,Province,Eastern Cape,Political Party,ANC,Party Member
Dennis Sehloho Neer,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Donald Grant,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Minister for Education
Dorothea Gopie,,,Political Party,ANC,Member
Dorothea Gopie,,,Political Party,ANC,Party Member
Dorothea Gopie,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Dorothea Gopie,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Dorothea Gopie,Province,Western Cape,Western Cape Provincial Legislature Committee,Petitions Committee,Alternate Member
Dr Mabasa Norman,,,Party Member,ANC,Party Member
Dr Mabasa Norman,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Dr Malakoane,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Health
Dr Malakoane,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
Dr Mateme Hunadi Euphemia,,,Party Member,ANC,Party Member
Dr Mateme Hunadi Euphemia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: EDEAT Executive Committee
Dr Mateme Hunadi Euphemia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Dr Nethengwe Gladys Thidziambi,,,Party Member,ANC,Party Member
Dr Nethengwe Gladys Thidziambi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Road Transport Executive Committee
Dr Nethengwe Gladys Thidziambi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
E Rockman,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Executive Committee: Treasury
E Rockman,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
ES Magashule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
ES Magashule,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Premier
Ellen Prins,,,Political Party,ANC,Party Member
Ellen Prins,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Ellen Prins,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Agriculture,Committee Member
Ellen Prins,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Finance and Economic Development,Alternate Member
Eugene von Brandis,,,Political Party,DA,Party Member
Eugene von Brandis,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Committee,Conduct Committee,Committee Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Committee,Public Accounts Committee Alt,Committee Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Environmental Affairs and Development Planning,Committee Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Finance and Economic Development,Committee Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government Oversight,Committee Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Human Settlement,Alternate Member
Eugene von Brandis,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Local Government,Alternate Member
FENNY GAOLAOLWE,,,Political Party,ANC,Party Member
FENNY GAOLAOLWE,Province,North West,Provincial Legislature,North West Provincial Legislature,"Chair of the the Education, Sports, Arts and Culture Executive Committee"
FENNY GAOLAOLWE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Fikile Xasa,Province,Eastern Cape,Political Party,ANC,Party Member
Fikile Xasa,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Fred Nel ,,,Political Party,DA,Party Member
Fred Nel ,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Frederik Mulder,,,Political Party,FF+,Party Member
Frederik Mulder,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
G Mothupi,,,Political Party,COPE,Party Member
G Mothupi,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
GORDON KEGAKILWE,,,Political Party,ANC,Party Member
GORDON KEGAKILWE,Province,North West,Provincial Legislature,North West Provincial Legislature,Chief Whip
GORDON KEGAKILWE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Gavin Lewis,,,Political Party,DA,Party Member
Gavin Lewis,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Gerrit van Rensburg,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Minister for Agriculture
Glenda Steyn,,,Political Party,DA,Party Member
Glenda Steyn,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Grant Haskin,,,Political Party,ACDP,Party Member
Grant Haskin,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Grant Haskin,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Committee,Public Accounts Committee,Committee Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Legislature Committee,Aesthetics Committee,Alternate Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Legislature Committee,Disabled and Youth Committee,Alternate Member
Grant Haskin,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Agriculture and environmental Planning,Alternate Member
HLOMANE CHAUKE,,,Political Party,ANC,Party Member
HLOMANE CHAUKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the SCOPA Committee
HLOMANE CHAUKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
HOFFMAN GALENG,,,Political Party,ANC,Party Member
HOFFMAN GALENG,Province,North West,Provincial Legislature,North West Provincial Legislature,Acting Whip
HOFFMAN GALENG,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Helen Sauls-August,Province,Eastern Cape,Political Party,ANC,Party Member
Helen Sauls-August,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Helen Zille,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Premier
Helmar (Bokkie) Geyer,,,Political Party,DA,Deputy Chief Whip of the Majority Party
Helmar (Bokkie) Geyer,,,Political Party,DA,Party Member
Helmar (Bokkie) Geyer,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Conduct Committee,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Petitions Committee,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Public Accounts Committee,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Agriculture,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Finance and Economic Development Alt,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Human Settlement,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government,Committee Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Legislature Committee,Aesthetics Committee,Alternate Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Legislature Committee,Budget Committee,Alternate Member
Helmar (Bokkie) Geyer,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Local Government Oversight,Alternate Member
Hendrika Kruger,,,Political Party,DA,Party Member
Hendrika Kruger,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Hlongwa Brian,,,Political Party,ANC,Party Member
Hlongwa Brian,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Humphrey Maxegwana,Province,Eastern Cape,Political Party,ANC,Party Member
Humphrey Maxegwana,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Humphrey Mmemezi,,,Political Party,ANC,Party Member
Humphrey Mmemezi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Imamile Aubin Pikinini,Province,Eastern Cape,Political Party,ANC,Party Member
Imamile Aubin Pikinini,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Ivan Meyer,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Minister for Cultural Affairs & Sport (also responsible for International Relations)
JOHN DUNN FRANZSEN,,,Political Party,DA,Party Member
JOHN DUNN FRANZSEN,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Jack Bloom,,,Political Party,DA,Party Member
Jack Bloom,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Jackson Bici,Province,Eastern Cape,Political Party,UDM,Party Member
Jackson Bici,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Janet Semple ,,,Political Party,DA,Party Member
Janet Semple ,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Jennifer Hartnick,,,Political Party,DA,Party Member
Jennifer Hartnick,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Cultural Affairs and Sport,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Disabled and Youth Committee,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Development,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Education,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Legislature Committee,Conduct Committee,Alternate Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Legislature Committee,Petitions Committee,Alternate Member
Jennifer Hartnick,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Johannes Visser,,,Political Party,DA,Party Member
Johannes Visser,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Provincial Treasury,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Public Accounts Committee Alt,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Agriculture and environmental Planning,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Human Settlement,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government Oversight,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Local Government,Committee Member
Johannes Visser,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Finance and Economic Development,Alternate Member
John Cupido,Province,Eastern Cape,Political Party,DA,Party Member
John Cupido,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
John Moodey,,,Political Party,DA,Party Member
John Moodey,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
John Phillip Korkie,Province,Eastern Cape,Political Party,COPE,Party Member
John Phillip Korkie,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Joyce Witbooi,,,Political Party,ANC,Party Member
Joyce Witbooi,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Joyce Witbooi,Province,Western Cape,Western Cape Provincial Committee,Petitions Committee,Committee Member
Joyce Witbooi,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Cultural Affairs and Sport,Committee Member
Joyce Witbooi,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Education,Alternate Member
Kadini Joel Ngalo,Province,Eastern Cape,Political Party,ANC,Party Member
Kadini Joel Ngalo,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Kalipa Ndzipho,,,Political Party,COPE,Party Member
Kalipa Ndzipho,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Kate Lorimer,,,Political Party,DA,Party Member
Kate Lorimer,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Khawe Jacob,,,Political Party,ANC,Party Member
Khawe Jacob,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Khaya Magaxa,,,Political Party,ANC,Party Member
Khaya Magaxa,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
