ABAKAILE,Abakaile
BIBIRIONI,Bobaracho
BIDII,Bobasi / Boitangare
BIRONGO,Bobasi Chache
BOBARACHO,Bofu
BOBASI BOITANGARE,Bogeka
BOBASI CHACHE,Bogetenga
BOFU,Bogiakumu
BOGEKA,Bogichora
BOGETENGA,Bogusero
BOGIAKUMU,Boikanga
BOGICHORA,Boito
BOGUSERO,Bokeira
BOIKANG'A,Bokimonge
BOITO,Bokoli
BOKEIRA,Bomani
BOKIMONGE,Bomariba
BOKOLI,Bombaba Borabu
BOMANI,Bomorenda
BOMARIBA,Bomwagamo
BOMBABA BORABU,Bonyamatuta
BOMORENDA,Boochi / Tendere
BOMWAGAMO,Boochi Borabu
BONYAMATUTA,Borabu / Chitago
BOOCHI BORABU,Bosamaro
BOOCHI/TENDERE,Bosoti / Sengera
BORABU / CHITAGO,Bukembe East
BOSAMARO,Bukembe West
BOSOTI/SENGERA,Bukhayo Central
BUKEMBE EAST,Bukhayo East
BUKEMBE WEST,Bukhayo North / Walatsi
BUKHAYO CENTRAL,Bukhayo West
BUKHAYO EAST,Bukira Central / Ikerege
BUKHAYO NORTH/WALTSI,Bukira East
BUKHAYO WEST,Bulla Mpya
BUKIRA CENTRL/IKEREGE,Bulla Pesa
BUKIRA EAST,Bumula
BULLA MPYA,Bunyala Central
BULLA PESA,Bunyala East
BUMULA,Bunyala North
BUNYALA CENTRAL,Bunyala South
BUNYALA CENTRAL,Bunyala West
BUNYALA EAST,Bura
BUNYALA NORTH,Burat
BUNYALA SOUTH,Burder
BUNYALA WEST,Burumba
BUNYALA WEST,Busali
BURA,Busibwabo
BURA,Butali / Chegulo
BURAT,Bute
BURDER,Butiye
BURUMBA,Butsotso Central
BURUNDI,Butsotso East
BUSALI,Butsotso South
BUSIBWABO,Bwake / Luuya
BUTALI/CHEGULO,Bwiri
BUTE,California
BUTIYE,Central
BUTSOTSO CENTRAL,Central Alego
BUTSOTSO EAST,Central Bunyore
BUTSOTSO SOUTH,Central Gem
BWAKE/LUUYA,Central Kamagambo
BWIRI,Central Kanyamkago
CALIFORNIA,Central Kasipul
CENTRAL,Central Kisumu
CENTRAL,Central Maragoli
CENTRAL,Central Nyakach
CENTRAL  WARD,Central Sakwa
CENTRAL ALEGO,Central Seme
CENTRAL BUNYORE,Chaani
CENTRAL GEM,Chaik
CENTRAL KAMAGAMBO,Chakol North
CENTRAL KANYAMKAGO,Chakol South
CENTRAL KASIPUL,Chala
CENTRAL KISUMU,Changamwe
CENTRAL MARAGOLI,Chania
CENTRAL NYAKACH,Charagita
CENTRAL SAKWA,Chari
CENTRAL SAKWA,Chasimba
CENTRAL SEME,Chavakali
CHAANI,Chawia
CHAIK,Cheboin
CHAKOL NORTH,Chebunyo
CHAKOL SOUTH,Chekalini
CHALA,Chemagel
CHANGAMWE,Chemaner
CHANIA,Chemelil
CHARAGITA,Chemelil / Chemase
CHARI,Chemosot
CHASIMBA,Chemuche
CHAVAKALI,Chemundu / Kapng'etuny
CHAWIA,Chengoni / Samburu
CHEBOIN,Chepareria
CHEBUNYO,Chepchabas
CHEKALINI,Chepchoina
CHEMAGEL,Chepkorio
CHEMANER,Chepkumia
CHEMELIL,Chepkunyuk
CHEMELIL/CHEMASE,Cheplanget
CHEMOSOT,Chepseon
CHEMUCHE,Chepsiro / Kiptoror
CHEMUNDU/KAPNG'ETUNY,Cheptais
CHENGONI/SAMBURU,Chepterwai
CHEPARERIA,Cheptiret / Kipchamo
CHEPCHABAS,Cheptororiet / Seretut
CHEPCHOINA,Chepyuk
CHEPKORIO,Cherab
CHEPKUMIA,Cherangany / Suwerwa
CHEPKUNYUK,Cherang’any / Chebororwa
CHEPLANGET,Chesikaki
CHEPSEON,Chesoen
CHEPSIRO/KIPTOROR,Chevaywa
CHEPTAIS,Chewani
CHEPTERWAI,Chewele
CHEPTIRET/KIPCHAMO,Chiakariga
CHEPTORORIET/SERETUT,Chilchila
CHEPYUK,Chinga
CHERAB,Chogoria
CHERANG'ANY/CHEBORORWA,Chuluni
CHERANGANY/SUWERWA,Churo / Amaya
CHESIKAKI,Cianda
CHESOEN,Clay City
CHEVAYWA,Dabaso
CHEWANI,Dadaab
CHEWELE,Dadaja Bulla
CHIAKARIGA,Dalalekutuk
CHILCHILA,Damajale
CHINGA,Danaba
CHOGORIA,Dandora Area I
CHULUNI,Dandora Area II
CHURO/AMAYA,Dandora Area III
CIANDA,Dandora Area IV
CLAY CITY,Dandu
DABASO,Danyere
DADAAB,Dedan Kimathi
DADAJA BULLA,Dekaharia
DALALEKUTUK,Della
DAMAJALE,Derkhale
DANABA,Dertu
DANDORA AREA I,Diif
DANDORA AREA II,Dukana
DANDORA AREA III,Dundori
DANDORA AREA IV,Dzombo
DANDU,East Asembo
DANYERE,East Gem
DEDAN KIMANTHI,East Kabras
DEKAHARIA,East Kamagak
DELLA,East Kamagambo
DERKHALE,East Kano / Wawidhi
DERTU,East Kanyamkago
DIIF,East Sang'alo
DUKANA,East Seme
DUNDORI,East Ugenya
DZOMBO,East Wanga
EAST ASEMBO,Eastleigh North
EAST GEM,Eastleigh South
EAST GEM,Ekalakala
EAST KABRAS,Ekerenyo
EAST KAMAGAK,El - Barta
EAST KAMAGAMBO,Elben
EAST KANO/WAWIDHI,Elburgon
EAST KANYAMKAGO,Eldas
EAST SANG'ALO,Elementaita
EAST SEME,Elgon
EAST UGENYA,Elnur / Tula Tula
EAST WANGA,Elugulu
EASTLEIGH NORTH,Elwak North
EASTLEIGH SOUTH,Elwak South
EKALAKALA,Emabungo
EKERENYO,Emali / Mulala
EL-BARTA,Embakasi
ELBEN,Embobut / Embulot
ELBURGON,Embomos
ELDAS,Emining
ELEMENTAITA,Emsoo
ELGON,Endau / Malalani
ELNUR/TULA TULA,Endebess
ELUGULU,Endo
ELWAK NORTH,Endugh
ELWAK SOUTH,Engineer
EMABUNGO,Entonet / Lenkism
EMALI/MULALA,Esise
EMBAKASI,Etenje
EMBOBUT / EMBULOT,Evurore
EMBOMOS,Ewalel / Chapchap
EMINING,Ewuaso Oo Nkidong'i
EMSOO,Fafi
ENDAU/MALALANI,Faza
ENDEBESS,Fino
ENDO,Flamingo
ENDUGH,Frere Town
ENGINEER,Gachuba
ENTONET/LENKISIM,Gaichanjiru
ESISE,Gakawa
ETENJE,Galbet
EVURORE,Ganda
EWALEL/CHAPCHAP,Ganga
EWUASO OoNKIDONG'I,Ganyure / Wagalla
FAFI,Ganze
FAZA,Garashi
FINO,Garba Tulla
FLAMINGO,Garsen Central
FRERE TOWN,Garsen North
GACHUBA,Garsen South
GAICHANJIRU,Garsen West
GAKAWA,Gatanga
GALBET,Gatarakwa
GANDA,Gathanji
GANGA,Gathara
GANYURE/WAGALLA,Gathigiriri
GANZE,Gatimu
GARASHI,Gatina
GARBATULLA,Gatitu / Muruguru
GARSEN CENTRAL,Gatongora
GARSEN NORTH,Gatuanyaga
GARSEN SOUTH,Gatunga
GARSEN WEST,Gaturi
GATANGA,Gaturi North
GATARAKWA,Gaturi South
GATHANJI,Gembe
GATHARA,Gesima
GATHIGIRIRI,Gesusu
GATIMU,Geta
GATINA,Getenga
GATITU/MURUGURU,Gikondi
GATONGORA,Gilgil
GATUANYAGA,Gisambai
GATUNGA,Gitaru
GATURI,Githabai
GATURI NORTH,Gither
GATURI SOUTH,Githiga
GEMBE,Githioro
GESIMA,Githobokoni
GESUSU,Githunguri
GETA,Githurai
GETENGA,Gitothua
GIKONDI,Gituamba
GILGIL,Gitugi
GISAMBAI,God Jope
GITARU,Godoma
GITHABAI,Gokeharaka / Getambwega
GITHER,Golbo
GITHIGA,Gombato Bongwe
GITHIGA,Gongoni
GITHIORO,Goreale
GITHOBOKONI,Got Kachola
GITHUNGURI,Guba
GITHURAI,Gurar
GITOTHUA,Guticha
GITUAMBA,Gwassi North
GITUGI,Gwassi South
GOD JOPE,Habasswein
GODOMA,Hadado / Athibohol
GOKEHARAKA/GETAMBWEGA,Harambee
GOLBO,Heillu / Manyatta
GOMBATO BONGWE,Hellsgate
GONGONI,Hindi
GOREALE,Hirimani
GOT KACHOLA,Homa Bay Arujo
GUBA,Homa Bay Central
GURAR,Homa Bay East
GUTICHA,Homa Bay West
GWASSI NORTH,Hongwe
GWASSI SOUTH,Hospital
HABASSWEIN,Hulugho
HADADO/ATHIBOHOL,Huruma
HARAMBEE,Ibeno
HEILLU/MANYATTA,Ibrahim Ure
HELLS GATE,Ichagaki
HINDI,Ichuni
HIRIMANI,Idakho Central
HOMA BAY ARUJO,Idakho East
HOMA BAY CENTRAL,Idakho North
HOMA BAY EAST,Idakho South
HOMA BAY WEST,Iftin
HONGWE,Igambang'ombe
HOSPITAL,Igembe East
HOSPITAL,Igoji East
HOSPITAL,Igoji West
HULUGHO,Igwamiti
HURUMA,Ijara
HURUMA,Ikanga / Kyatune
IBENO,Ikinu
IBRAHIM URE,Ikombe
ICHAGAKI,Ikutha
ICHUNI,Ilchamus
IDAKHO CENTRAL,Ildamat
IDAKHO EAST,Ilima
IDAKHO NORTH,Ilkerin
IDAKHO SOUTH,Illeret
IFTIN,Ilmotiook
IGAMBANG'OMBE,Iloodokilani
IGEMBE EAST,Imara Daima
IGOJI EAST,Imaroro
IGOJI WEST,Imbirikani / Eselenkei
IGWAMITI,Ingotse - Matiha
IJARA,Inoi
IKANGA/KYATUNE,Iria - Ini
IKINU,Iriaini
IKOMBE,Isibania
IKUTHA,Isukha Central
ILCHAMUS,Isukha East
ILDAMAT,Isukha North
ILDAMAT,Isukha South
ILIMA,Isukha West
ILKERIN,Ithanga
ILLERET,Ithiru
ILMOTIOK,Itibo
ILOODOKILANI,Ivingoni / Nzambani
IMARA DAIMA,Jarajara
IMARORO,Jarajila
INGOSTSE-MATHIA,Jaribuni
INOI,Jepkoyai
IRIA-INI,Jilore
IRIAINI,Jomvu Kuu
ISIBANIA,Juja
ISUKHA CENTRAL,Junda
ISUKHA EAST,Junju
ISUKHA NORTH,Kaaleng / Kaikor
ISUKHA SOUTH,Kabare
ISUKHA WEST,Kabarnet
ITHANGA,Kabartonjo
ITHIRU,Kabaru
ITIBO,Kabatini
IVINGONI/NZAMBANI,Kabazi
JARA JARA,Kabete
JARAJILA,Kabianga
JARIBUNI,Kabiemit
JEPKOYAI,Kabiro
JILORE,Kabisaga
JOMVU KUU,Kabiyet
JUJA,Kabondo East
JUNDA,Kabondo West
JUNJU,Kabonyo / Kanyagwal
KAALENG/KAIKOR,Kabouch North
KABARE,Kabuchai / Chwele
KABARNET,Kabula
KABARTONJO,Kabuoch South / Pala
KABARU,Kabwareng
KABATINI,Kachieng'
KABAZI,Kadzandani
KABETE,Kaeris
KABIANGA,Kagaari North
KABIEMIT,Kagaari South
KABIRO,Kagan
KABISAGA,Kagundu - Ini
KABIYET,Kahawa
KABONDO EAST,Kahawa / Sukari
KABONDO WEST,Kahawa Wendani
KABONYO/KANYAGWAL,Kahawa West
KABUCHAI/CHWELE,Kahumbu
KABULA,Kaimbaga
KABUOCH NORTH,Kajulu
KABUOCH SOUTH/PALA,Kakrao
KABWARENG,Kaksingiri West
KACHIEN'G,Kakuma
KADZANDANI,Kakuyuni
KAERIS,Kakuzi / Mitubiri
KAGAARI NORTH,Kalama
KAGAARI SOUTH,Kalapata
KAGAN,Kalawa
KAGUNDU-INI,Kaler
KAHAWA,Kalimoni
KAHAWA SUKARI,Kalobeyei
KAHAWA WENDANI,Kalokol
KAHAWA WEST,Kaloleni
KAHUMBU,Kamacharia
KAIMBAGA,Kamagut
KAJULU,Kamahuha
KAKRAO,Kamakwa / Mukaro
KAKSINGRI WEST,Kamara
KAKUMA,Kamariny
KAKUYUNI,Kamasian
KAKUZI/MITUBIRI,Kambe / Ribe
KALAMA,Kambiti
KALAPATA,Kamburu
KALAWA,Kamenu
KALER,Kamukuywa
KALIMONI,Kanamkemer
KALOBEYEI,Kangai
KALOKOL,Kangari
KALOLENI,Kangemi
KALOLENI,Kangeta
KAMACHARIA,Kangundo Central
KAMAGUT,Kangundo East
KAMAHUHA,Kangundo North
KAMAKWA/MUKARO,Kangundo West
KAMARA,Kang’atotha
KAMARINY,Kanjuiri Range
KAMASIAN,Kanuni
KAMBE/RIBE,Kanyadoto
KAMBITI,Kanyaluo
KAMBURU,Kanyamwa Kologi
KAMENU,Kanyamwa Kosewe
KAMUKUYWA,Kanyangi
KANAMKEMER,Kanyasa
KANG'ATOTHA,Kanyekini
KANGAI,Kanyenya - Ini
KANGARI,Kanyikela
KANGEMI,Kanziko
KANGETA,Kapchemutwa
KANGUNDO CENTRAL,Kapchok
KANGUNDO EAST,Kapchorua
KANGUNDO NORTH,Kapedo / Napeitom
KANGUNDO WEST,Kapenguria
KANJUIRI RANGE,Kapkangani
KANUNI,Kapkateny
KANYADOTO,Kapkatet
KANYALUO,Kapkugerwet
KANYAMWA KOLOGI,Kapkures
KANYAMWA KOSEWE,Kaplamai
KANYANGI,Kaplelartet
KANYASA,Kapletundo
KANYEKINI,Kapomboi
KANYENYA-INI,Kapropita
KANYIKELA,Kapsabet
KANZIKO,Kapsaos
KAPCHEMUTWA,Kapsasian
KAPCHOK,Kapsimotwo
KAPCHORUA,Kapsoit
KAPEDO/NAPEITOM,Kapsowar
KAPENGURIA,Kapsoya
KAPKANGANI,Kapsuser
KAPKATENY,Kaptagat
KAPKATET,Kaptama
KAPKUGERWET,Kaptarakwa
KAPKURES,Kaptel / Kamoiywo
KAPKURES,Kaptembwo
KAPLAMAI,Kaptumo / Kaboi
KAPLELARTET,Kaputiei North
KAPLETUNDO,Kaputir
KAPOMBOI,Kapyego
KAPROPITA,Karai
KAPSABET,Karama
KAPSAOS,Karare
KAPSAOS,Karatina Town
KAPSASIAN,Karau
KAPSIMOTWO,Karen
KAPSOIT,Kargi / South Horr
KAPSOWAR,Kariara
KAPSOYA,Karima
KAPSUSER,Karingani
KAPTAGAT,Kariobangi North
KAPTAMA,Kariobangi South
KAPTARAKWA,Kariti
KAPTEL/KAMOIYWO,Karumandi
KAPTEMBWO,Karuna / Meibeki
KAPTUMO-KABOI,Karura
KAPUTIEI NORTH,Karuri
KAPUTIR,Kasarani
KAPYEGO,Kasei
KARAI,Kasemeni
KARAMA,Kasgunga
KARARE,Kasigau
KARATINA TOWN,Kasikeu
KARAU,Katangi
KAREN,Kathiani Central
KARGI/SOUTH HORR,Kathonzweni
KARIARA,Katilia
KARIMA,Katilu
KARINGANI,Kauwi
KARIOBANGI NORTH,Kawangware
KARIOBANGI SOUTH,Kayafungo
KARITI,Kayole Central
KARUMANDI,Kayole North
KARUNA/MEIBEKI,Kayole South
KARURA,Kedowa / Kimugul
KARURI,Kee
KASARANI,Keekonyokie
KASEI,Kegogi
KASEMENI,Keiyo
KASGUNGA,Kembu
KASIGAU,Kemeloi - Maraba
KASIKEU,Kemera
KATANGI,Kendu Bay Town
KATHIANI CENTRAL,Kenyawa - Poka
KATHONZWENI,Keringet
KATILIA,Kerio Delta
KATILU,Kerugoya
KAUWI,Keumbu
KAWANGWARE,Keyian
KAYAFUNGO,Khalaba
KAYOLE CENTRAL,Khalalio
KAYOLE NORTH,Khasoko
KAYOLE SOUTH,Kholera
KEDOWA/KIMUGUL,Khorof / Harar
KEE,Kiabonyoru
KEEKONYOKIE,Kiagu
KEEKONYOKIE,Kiamaiko
KEGOGI,Kiamaina
KEIYO,Kiambere
KEMBU,Kiamokama
KEMELOI-MARABA,Kiamwangi
KEMERA,Kianjai
KENDU BAY TOWN,Kibarani
KENYAWA-POKA,Kibauni
KERINGET,Kibingei
KERIO DELTA,Kibiri
KERUGOYA,Kibirichia
KEUMBU,Kibish
KEYIAN,Kiegoi / Antubochiu
KHALABA,Kiganjo
KHALABA,Kiganjo / Mathari
KHALALIO,Kiguchwa
KHASOKO,Kigumo
KHOLERA,Kihara
KHOROF/HARAR,Kihingo
KIABONYORU,Kihumbu - Ini
KIAGU,Kiima Kiu / Kalanzoni
KIAMAIKO,Kiine
KIAMAINA,Kiirua / Naari
KIAMBERE,Kijabe
KIAMOKAMA,Kikumbulyu North
KIAMWANGI,Kikumbulyu South
KIANJAI,Kikuyu
KIBARANI,Kileleshwa
KIBAUNI,Kilgoris Central
KIBINGEI,Kilibwoni
KIBIRI,Kilimani
KIBIRICHIA,Kiliwehiri
KIBISH,Kilungu
KIEGOI/ANTUBOCHIU,Kimaeti
KIGANJO,Kimana
KIGANJO/MATHARI,Kimilili
KIGUCHWA,Kiminini
KIGUMO,Kimintet
KIHARA,Kimorori / Wempa
KIHINGO,Kimulot
KIHUMBU-INI,Kimumu
KIIMA KIU/KALANZONI,Kinakomba
KIINE,Kinale
KIIRUA/NAARI,Kinango
KIJABE,Kinanie
KIKUMBULYU NORTH,Kingandole
KIKUMBULYU SOUTH,Kinna
KIKUYU,Kinondo
KILELESHWA,Kinoo
KILGORIS CENTRAL,Kinyona
KILIBWONI,Kinyoro
KILIMANI,Kiogoro
KILIWEHIRI,Kiomo / Kyethani
KILUNGU,Kipchebor
KIMAETI,Kipchimchim
KIMANA,Kipevu
KIMILILI,Kipini East
KIMININI,Kipini West
KIMINTET,Kipipiri
KIMORORI/WEMPA,Kipkaren
KIMULOT,Kipkelion
KIMUMU,Kipkenyo
KINAKOMBA,Kiplombe
KINALE,Kipreres
KINANGO,Kipsomba
KINANIE,Kipsonoi
KINGANDOLE,Kiptagich
KINNA,Kiptororo
KINONDO,Kiptuiya
KINOO,Kiriita
KINYONA,Kirimari
KINYORO,Kirimukuyu
KIOGORO,Kiru
KIOMO/KYETHANI,Kisa Central
KIPCHEBOR,Kisa East
KIPCHIMCHIM,Kisa North
KIPEVU,Kisa west
KIPINI EAST,Kisanana
KIPINI WEST,Kisasi
KIPIPIRI,Kisiara
KIPKAREN,Kisii Central
KIPKELION,Kisima
KIPKENYO,Kisumu North
KIPLOMBE,Kitengela
KIPRERES,Kiteta - Kisau
KIPSOMBA,Kithimani
KIPSONOI,Kithimu
KIPTAGICH,Kithungo / Kitundu
KIPTORORO,Kitise / Kithuki
KIPTUYA,Kitisuru
KIRIITA,Kitutu Central
KIRIMARI,Kiunga
KIRIMUKUYU,Kiuu
KIRU,Kivaa
KISA CENTRAL,Kivou
KISA EAST,Kivumbini
KISA NORTH,Kiwawa
KISA WEST,Kobujoi
KISANANA,Kobura
KISASI,Kochia
KISIARA,Kodich
KISII CENTRAL,Koibatek
KISIMA,Kojwach
KISUMU NORTH,Kokwanyo / Kakelo
KITENGELA,Kola
KITETA/KISAU,Kolowa
KITHIMANI,Kolwa Central
KITHIMU,Kolwa East
KITHUNGO/KITUNDU,Komarock
KITISE/KITHUKI,Komothai
KITISURU,Kondele
KITUTU   CENTRAL,Kong'asis
KIUNGA,Kongoni
KIUU,Kongowea
KIVAA,Konyu
KIVOU,Korogocho
KIVUMBINI,Korondile
KIWAWA,Korr / Ngurunit
KOBUJOI,Kosirai
KOBURA,Kotaruk / Lobei
KOCHIA,Koyo / Ndurio
KODICH,Koyonzo
KOIBATEK,Kubo South
KOJWACH,Kuinet / Kapsuswa
KOKWANYO/KAKELO,Kuku
KOLA,Kunyak
KOLOWA,Kurgung / Surungai
KOLWA CENTRAL,Kutulo
KOLWA EAST,Kwa
KOMAROCK,Kwa Njenga
KOMOTHAI,Kwa Reuben
KONDELE,Kwabwai
KONG'ASIS,Kwamutonga / Kithumula
KONGONI,Kwanza
KONGOWEA,Kware
KONYU,Kwavonza / Yatta
KOROGOCHO,Kyangwithya East
KORONDILE,Kyangwithya West
KORR/NGURUNIT,Kyeleni
KOSIRAI,Kyeni North
KOTARUK/LOBEI,Kyeni South
KOYO-NDURIO,Kyome / Thaana
KOYONZO,Kyuso
KUBO SOUTH,Labisgale
KUINET/KAPSUSWA,Lafey
KUKU,Lagboghol South
KUNYAK,Lagsure
KURGUNG/SURUNGAI,Laini Saba
KUTULO,Laisamis
KWA,Lake View
KWA MUTONGA/KITHUMULA,Lakezone
KWA NJENGA,Lakoley South / Basir
KWA REUBEN,Lambwe
KWABWAI,Landimawe
KWANZA,Lanet / Umoja
KWARE,Langas
KWAVONZA/YATTA,Lapur
KYANGWITHYA EAST,Lare
KYANGWITHYA WEST,Lari / Kirenga
KYELENI,Lelan
KYENI NORTH,Lelmoko / Ngechek
KYENI SOUTH,Lembus
KYOME/THAANA,Lembus / Perkerra
KYUSO,Lembus Kwen
LABASIGALE,Leshau / Pondo
LAFEY,Letea
LAGBOGHOL SOUTH,Libehia
LAGSURE,Liboi
LAINI SABA,Likoni
LAISAMIS,Likuyani
LAKE VIEW,Limuru Central
LAKE ZONE,Limuru East
LAKOLEY SOUTH/BASIR,Lindi
LAMBWE,Litein
LANDIMAWE,Lobokat
LANET/UMOJA,Lodokejek
LANGAS,Lodwar Township
LAPUR,Logologo
LARE,Loima
LARI/KIRENGA,Loita
LELAN,Loiyamorok
LELAN,Loiyangalani
LELMOKWO/NGECHEK,Lokichar
LEMBUS,Lokichoggio
LEMBUS KWEN,Lokiriama / Lorengippi
LEMBUS/PERKERRA,Lokori / Kochodin
LESHAU/PONDO,Lolgorian
LETEA,Lomut
LIBEHIA,Londiani
LIBOI,London
LIKONI,Longisa
LIKUYANI,Loosuk
LIMURU CENTRAL,Lopur
LIMURU EAST,Lower Kaewa / Kaani
LINDI,Lower Savanna
LITEIN,Luanda South
LOBOKAT,Luanda Township
LODOKEJEK,Lucky Summer
LODWAR TOWNSHIP,Lugaga - Wamuluma
LOGO LOGO,Lugari
LOIMA,Lumakanda
LOITA,Lusheya / Lubinu
LOIYAMOROCK,Lwandanyi
LOIYANGALANI,Lwandeti
LOKICHAR,Lyaduywa / Izava
LOKICHOGGIO,Maalamin
LOKIRIAMA/LORENGIPPI,Mabatini
LOKORI/KOCHODIN,Macalder / Kanyarwanda
LOLGORIAN,Machakos Central
LOMUT,Machewa
LONDIANI,Mackinon Road
LONDON,Madogo
LONGISA,Maeni
LOOSUK,Magadi
LOPUR,Magarini
LOWER KAEWA/KAANI,Magenche
LOWER SAVANNAH,Magogoni
LUANDA SOUTH,Magombo
LUANDA TOWNSHIP,Magumoni
LUCKY SUMMER,Magumu
LUGAGA-WAMULUMA,Magutu
LUGARI,Magwagwa
LUMAKANDA,Mahiakalo
LUSHEYA/LUBINU,Mahiga
LWANDANYI,Mahoo
LWANDETI,Mai mahiu
LYADUYWA/IZAVA,Maiella
MAALIMIN,Maikona
MABATINI,Majengo
MACALDER/KANYARWANDA,Maji Moto / Naroosura
MACHAKOS CENTRAL,Majoge Basi
MACHEWA,Makima
MACKINNON ROAD,Makina
MADOGO,Makindu
MAENI,Makongeni
MAGADI,Makutano
MAGARINI,Makutano / Mwala
MAGENCHE,Makuyu
MAGOGONI,Malaba Central
MAGOMBO,Malaba North
MAGUMONI,Malaba South
MAGUMU,Malaha / Isongo / Makun ga
MAGUTU,Malakisi / South Kulisiru
MAGWAGWA,Malewa West
MAHIAKALO,Malindi Town
MAHIGA,Malkagufu
MAHOO,Malkamari
MAI MAHIU,Manda - Shivanga
MAIELLA,Manga
MAIKONA,Mang’u
MAJENGO,Manyatta B
MAJIMOTO/NAROOSURA,Mara
MAJOGE BASI,Marachi Central
MAKERERO,Marachi East
MAKIMA,Marachi North
MAKINA,Marachi West
MAKINDU,Marafa
MAKONGENI,Maraka
MAKUTANO,Marakaru / Tuuti
MAKUTANO/ MWALA,Maralal
MAKUYU,Marama Central
MALABA CENTRAL,Marama North
MALABA NORTH,Marama South
MALABA SOUTH,Marama West
MALAHA/ISONGO/MAKUNGA,Marani
MALAKISI/SOUTH KULISIRU,Marenyo - Shianda
MALEWA WEST,Mariakani
MALINDI TOWN,Mariani
MALKAGUFU,Mariashoni
MALKAMARI,Marigat
MANDA-SHIVANGA,Marimanti
MANG'U,Maringo / Hamza
MANGA,Market Milimani
MANYATTA 'B',Marmanet
MARA,Marothile
MARACHI CENTRAL,Marsabit Central
MARACHI EAST,Marungu
MARACHI NORTH,Masaba
MARACHI WEST,Masalani
MARAFA,Masige East
MARAKA,Masige West
MARAKARU/TUUTI,Masii
MARALAL,Masimba
MARAMA CENTRAL,Masinga Central
MARAMA NORTH,Masogo / Nyang'oma
MARAMA SOUTH,Masongaleni
MARAMA WEST,Masool
MARANI,Mata
MARENYO - SHIANDA,Matapato North
MARIAKANI,Matapato South
MARIANI,Matayos South
MARIASHONI,Mathare North
MARIGAT,Matinyani
MARIMANTI,Matisi
MARINGO/HAMZA,Matopeni / Spring Valley
MARKET MILIMANI,Matsangoni
MARMANET,Matulo
MARSABIT CENTRAL,Matumbei
MARUNGU,Matungulu East
MASABA,Matungulu North
MASALANI,Matungulu West
MASIGE EAST,Matuu
MASIGE WEST,Mau Narok
MASII,Maua
MASIMBA,Mauche
MASINGA CENTRAL,Mautuma
MASOGO/NYANG'OMA,Mavindini
MASONGALENI,Mavuria
MASOOL,Mayenje
MATA,Mayoni
MATAPATO NORTH,Mbakalo
MATAPATO SOUTH,Mbaruk / Eburu
MATAYOS SOUTH,Mbeti North
MATHARE NORTH,Mbeti South
MATINYANI,Mbeu
MATISI,Mbiri
MATOPENI/SPRING VALLEY,Mbitini
MATSANGONI,Mbiuni
MATULO,Mboghoni
MATUMBEI,Mbololo
MATUNGULU EAST,Mbooni
MATUNGULU NORTH,Megun
MATUNGULU WEST,Mekenene
MATUU,Melelo
MAU NAROK,Melili
MAUA,Menengai
MAUCHE,Menengai west
MAUTUMA,Merigi
MAVINDINI,Metkei
MAVURIA,Mfangano Island
MAYENJE,Miambani
MAYONI,Migosi
MBAKALO,Migwani
MBARUK/EBURU,Mihango
MBETI NORTH,Mihuu
MBETI SOUTH,Mikindani
MBEU,Mikinduni
MBIRI,Mikinduri
MBIRIKANI/ESELENKEI,Milima
MBITINI,Mirangine
MBITINI,Miritini
MBIUNI,Misikhu
