STATE,GOVERNOR,PARTY,TERM ENDS,TERM,WEBSITE,EMAIL,NUMBERS,FACEBOOK,TWITTER,YOUTUBE,NOTES
Edo,Adams Oshiomhole,All Progressives Congress (APC),2012-11-12,1,http://www.edostate.gov.ng/,"info@edostate.gov.ng, aoshiomhole@gmail.com",DL:08055243731,Edo State: http://www.facebook.com/EdoStateGovt,"@Oshiomhole, @Opendataedo","Edo State Videos: http://www.youtube.com/user/EdoStateVideos, Edo People Forum: http://www.youtube.com/user/EdoPeopleForum",Does not engage. Twitter-may not be official
Ekiti,Kayode Fayemi,All Progressives Congress (APC),2014-10-15,1,http://www.ekitistate.gov.ng/,info@ekitistate.gov.ng,2348060000000,"Ekiti State: http://www.facebook.com/EkitiState, Kayode Fayemi: http://www.facebook.com/pages/Kayode-Fayemi/163619490348640?ref=ts","@ekitistategov, @kfayemi, @EkitiState",http://www.youtube.com/user/ekitistatengr,Announced that he would tweet himself. Tweets irregularly sharing links. Unconfirmed email and phone numbers
Ebonyi,Martins Elechi,PDP,2015-05-29,2,http://www.ebonyistate.gov.ng/,info@eboyinstate.gov.ng,,"http://www.facebook.com/pages/Governor-Martin-N-Elechi/318471014114, http://www.facebook.com/pages/Ebonyi-State-Government/544865515577918",,,Does not engage
Enugu,Sullivan Chime,PDP,2015-05-29,2,http://www.enugustate.gov.ng/,"sullivan.chima@yahoo.com, info@enugustate.gov.ng",8038134382,http://www.facebook.com/pages/Governor-Sullivan-Chime/128527673865714,@SullivanChime,,Does not engage. unconfirmed phone number and email
Gombe,Ibrahim Hassan Dankwambo,PDP,2015-05-29,1,http://www.gombestate.gov.ng/,enquire@gombestate.gov.ng,"0803 0000 000, 0802 0000 000",http://www.gombestate.gov.ng/www.facebook.com/gombestategovt,@gombestategovt,,"Facebook link not working, Phone numbers listed on website seem odd"
Imo,Rochas Okorocha,All Progressives Congress (APC),2015-05-29,1,http://www.imostate.gov.ng/,mail@imostate.gov.ng,"083-231301, 083-231244","http://www.facebook.com/imostategovernment, http://www.facebook.com/pages/Rochas-Okorocha/152023514826032?ref=ts","@OwelleRochas, @imghowerri",http://www.youtube.com/user/theimostate,Inactive/ inconsistent
Jigawa,SuleLamido,PDP,2015-05-29,2,http://www.jigawastate.gov.ng/,"moiysc@jigawastate.gov, moiysc.jigawa@gmail.com & jigawa.state.website@gmail.com",,"http://www.facebook.com/profile.php?id=100002211555088&sk=wall, http://www.facebook.com/sule.lamido",,,Does not engage. Unconfirmed personal facebook page
Kaduna,Mukhtar Ramalan Yero,PDP,2015-05-29,1,"http://www.kadunastate.gov.ng/, http://www.ramalanyero.com/","reubenhari@kadunastate.gov.ng, reubenhari@yahoo.com, yero@ramalanyero.com","DL:08033146646, +234(0) 802 3584854, +234 803 3101752",http://www.facebook.com/mukhtarramalan.yero,@ramalanyero,,Phone numbers and email  unconfirmed. Inactive
Kano,Dr. Rabiu Musa Kwankwaso,PDP,2015-05-29,2,http://kano.gov.ng/new/,,DL:08036651111,http://www.facebook.com/RabiuMusaKwankwaso,,,Does not engage. unconfirmed phone numbers.
Katsina,Ibrahim Shehu Shema,PDP,2015-05-29,2,http://www.kts-ng.org/,,,http://www.facebook.com/ibrahim.shema,,,Does not engage. website offline
Kebbi,Usman Saidu Nasamu Dakingari,PDP,,,http://www.kebbistate.net/,,,,,,Does not engage. No contact info found.
Kwara,Abdullfatah Ahmed,PDP,2015-05-29,1,http://www.kwarastate.gov.ng/,,,http://www.facebook.com/Saimaigida,@Governor_Ahmed,,Active on twitter
Kogi,Ibrahim Idris,PDP,2016-01-27,1,http://www.kogistate.gov.ng/home,"info@kogistatenigeria.org, Executive Governor: gov@kogistatenigeria.org, Executive Governor: governor@kogistatenigeria.org, Deputy Governor: dgovernor@kogistatenigeria.org, Speaker: speaker@kogistatenigeria.org, Chief Judge: cj@kogistatenigeria.org, Secretary to Government: secgov@kogistatenigeria.org",+234 9 000 0000,http://www.facebook.com/pages/Executive-Governor-Ibrahim-Idris-Transforming-Kogi-State/183434461667065,,,Unconfirmed Facebook/ inactive
Lagos,Babatunde Fashola,All Progressives Congress (APC),2015-05-29,2,http://www.lagosstate.gov.ng/,General enquiry: scitech@lagosstate.gov.ng,,http://www.facebook.com/BabatundeFashola?ref=ts,@tundefashola,tundefashola http://youtube.com/tundefashola,State news on Twitter and Facebook.
Niger,Mu’azu Babangida,PDP,2015-05-29,2,"http://www.nigerstateonline.com/, http://www.nigerstate.gov.ng/",,,http://www.facebook.com/muazu.babangida.aliyu,,,
Nasarawa State,Umaru Tanko Al-Makura,Congress for Progressive Change,2015-05-29,1,http://www.nasarawastate.org/,,,http://www.facebook.com/pages/Umaru-Tanko-Al-Makura/190975167652080,@ AAAjimobi,,State news on Facebook.
Oyo,Abiola Ajimobi,All Progressives Congress (APC),2015-05-29,1,http://www.oyostate.gov.ng/,e.media@oyostate.gov.ng,,"http://www.facebook.com/AbiolaAjimobi, https://www.facebook.com/OyoStateGovernment",@AAAjimobi,http://www.youtube.com/user/aaajimobi,State news on Twitter and Facebook.
Ogun,Ibikunle Amosun,All Progressives Congress (APC),2015-05-29,1,http://www.ogunstate.gov.ng/,,,http://www.facebook.com/pages/Senator-Ibikunle-Amosun/150797314964845,@GovSIA,,State news on Twitter and Facebook.
Osun,Engr. Rauf Aregbesola,All Progressives Congress (APC),2014-11-25,1,http://www.osunstate.gov.ng/,webmaster@osunstate.gov.ng,,http://www.facebook.com/RaufAregbesola,@RaufAregbesola,http://www.youtube.com/user/osunstatechannel,State news on Twitter and Facebook.
Ondo,OlusegunMimiko,Labour Party,2012-05-29,1,http://www.ondostate.gov.ng/,info@ondostate.gov.ng,,http://www.facebook.com/OlusegunMimiko,"@AboutOndoState, @segunmimiko",http://www.youtube.com/user/Mimikotv,Minimal engagement
Plateau,Jonathan David Jang,PDP,2015-05-29,1,http://www.plateaustate.gov.ng/,"info@plateaustate.gov.ng, support@plateaustate.gov.ng",,http://www.facebook.com/jonah.davidjang,,,Provides detailed information about State programs on Facebook.
Rivers,RotimiAmaechi,PDP,2015-05-29,2,http://www.riversstate.gov.ng/,,DL:07088980000,"http://www.faceook.com/ChibuikeRotimiAmaechi, http://www.facebook.com/pages/Rivers-Connect",@ChibuikeAmaechi,,Engages once in a while
Sokoto,Magatakarda Wamakko,PDP,2016-02-22,2,http://www.sokotostate.gov.ng/,,,http://www.facebook.com/AliyuMagatakardaWamakko,,,Does not engage.
Taraba,Danbaba Suntai,PDP,2015-05-29,2,,,,http://www.facebook.com/danbaba.danfulanisuntai,,,Does not engage.
Yobe,Ibrahim Gaidam,All Nigeria Peoples Party,2015-05-29,2,http://www.yobestate.gov.ng/,modmas65ict@yobestate.gov.ng,,http://www.facebook.com/alhibrahim.gaidam,,,Does not engage.
Zamfara,Abdul-Aziz Yari Abubakar,All Nigeria Peoples Party,2015-05-29,1,http://www.onlinenigeria.com/links/zamfarastateadv.asp,,,http://www.facebook.com/abdulazizyari.abubakar,,,Does not engage.
