Party,First Name,Last Name,Organisation,Position Title,Start Date,End Date,Place name,Preferred Name,Cell phone
AFRICAN NATIONAL CONGRESS,Victor Vusumuzi Zibuthe,Windvoël,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,BASANI VIOLET,NKUNA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,PETRUS SIMON,NGOMANA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,JEANETH LIZZY,NGHONDZWENI,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,JOHANNE MUSA,MKHATSHWA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,PATRICIA,NGOBENI,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,GILLION PUDUMO,MASHEGO,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,CYNTHIA GABSILE,SHABALALA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,SIBUSISO INNOCENT,MALAZA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,DUMISILE GOODNESS,NHLENGETHWA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,WILLIAM THULARE,MADILENG,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,RHODA SAZI,MATHABE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
BUSHBUCKRIDGE RESIDENTS ASSOCIATION,CLEOPAS,MAUNYE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
DEMOCRATIC ALLIANCE,ANTHONY MAXIMILIAN,BENADIE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
DEMOCRATIC ALLIANCE,RAESETJA JANE,SITHOLE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
DEMOCRATIC ALLIANCE,BOSMAN,GROBLER,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
ECONOMIC FREEDOM FIGHTERS,MICHAEL COLLEN,SEDIBE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
ECONOMIC FREEDOM FIGHTERS,AYANDA CHARLOTTE,TSHABALALA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,MOSIMANEGARE KENNETH,MMOIEMANG,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,JOHN,BLOCK,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,SYLVIA ELIZABETH,LUCAS,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,ALVIN,BOTES,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,GOTHATAMANG NORMAN JONATHAN,SHUSHU,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,CUKELWA MAGDELINE,CHOTELO,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,GRIZELDA BONIWE,CJIEKELLA-LECHOLO,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,GAIL DENISE,PARKER,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,MXOLISA SIMON,SOKATSHA,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,MARTHA,BARTLETT,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,DAWID,ROOI,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,JOHANNA TEBIETA,BEUKES,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,MARUPING MATTHEWS,LEKWENE,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,BONGIWE PRICILLA,MBINQO-GIGABA                                ,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,ISAAC THAPELO,DITHEBE,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,FUFE BOHUTSANA PROVIDENCE,MAKATONG,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,MC COLLEN NTSIKELELO,JACK,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,ALEXANDRA JENNIFER,BEUKES,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,LEBOGANG JAMES,MOTLHAPING,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN NATIONAL CONGRESS,GOGANAMANG GLADYS,OLIPHANT,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
CONGRESS  OF THE PEOPLE,OUNEAS,DIKGETSI,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
DEMOCRATIC ALLIANCE,ANDREW,LOUW,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
DEMOCRATIC ALLIANCE,HAROLD,MC GLUWA,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
DEMOCRATIC ALLIANCE,BOITUMELO MAXWELL,BABUSENG,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
DEMOCRATIC ALLIANCE,SAFIYIA HAJEERA,STANFLEY,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
DEMOCRATIC ALLIANCE,PULE ISAAC,THOLE,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
DEMOCRATIC ALLIANCE,ISMAIL,OBARAY,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
DEMOCRATIC ALLIANCE,ISAK CORNELIUS CHRISTIAAN,FRITZ,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
ECONOMIC FREEDOM FIGHTERS,NEVIE AUBREY,BAARTMAN,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
ECONOMIC FREEDOM FIGHTERS,MMABATHO OLIVE,MOKAUSE,Northern Cape Provincial Legislature,Member,2014-05-21,future,Northern Cape,,
AFRICAN INDEPENDENT CONGRESS,VUYISILE,KRAKRI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,HELEN MERCEDES,AUGUST,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,Helen Mercedes Sauls-August,
AFRICAN NATIONAL CONGRESS,MLIBO,QOBOSHIYANE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,GODFREY PHUMULO,MASUALLE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,THANDISWA LINNEN,MARAWU,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,SAKHUMZI STOFFELS,SOMYO,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,PEMMY CASTELINA PAMELA,MAJODINA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,MANDLA,MAKUPULA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,PHOEBE NOXOLO,ABRAHAM-NTANTISO,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,FIKILE DEVILLIERS,XASA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,KOLISWA CLARIBELL,FIHLANI-MAGWAXAZA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,Koliswa Claribell Fihlani,
AFRICAN NATIONAL CONGRESS,MZOLELI,MRARA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,MXOLISI MACKSON,DIMAZA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,FUNDILE DAVID,GADE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,XOLILE EDMUND,NQATHA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NONCEBA,KONTSIWE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,PUMZA PATRICIA,DYANTYI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NOMVUZO,MLOMBILE-CINGO,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,CHRISTIAN,MARTIN,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NOMADEWUKA NANCY,SIHLWAYI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,SKUTA ALFRED,MTSI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,WEZIWE,TIKANA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,MICHAEL MASONWABE,PETER,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NOXOLO,KIVIET,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,SICELO HAMILTON,GQOBANA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,PHUMEZA THEODORA,MPUSHE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,TONY,DUBA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NTOMBIZODWA TAMARA,XHANTI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NCWADI CHRISTOPHER,TUNYISWA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NTOMBOVUYO SILBEROSE,NKOPANE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,XOLA ANDERSON,PAKATI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NOMAWETU,GQIBA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,CECIL MLUNGISI,NDAMASE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,NONKOSI QUEENIE,MVANA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,VUYANI MORGAN,LIMBA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,BULELWA,TUNYISWA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,MLULEKI,DLELANGA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,FEZEKA,NKOMONYE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,MZUYANDA,SOKUJIKA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,ALICE NOMVULA,PONCO,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,MPUMELELO,SAZIWA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,MARY BERNADETTE,NDLANGISA                                    ,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,Busisiwe Ndlangisa-Makaula,
AFRICAN NATIONAL CONGRESS,MNINAWA LEWIS,NYUSILE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,DEBORAH NOMALINDE,KOMOSE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,PHILA VICTOR,NKAYI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
AFRICAN NATIONAL CONGRESS,ESTHER NOMXOLISI,MTITSHANA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
CONGRESS  OF THE PEOPLE,LIEVIE KEAN,SHARPLEY,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,ROLAND ATHOL PRICE,TROLLIP,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,VELISWA,MVENYA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,ROBERT SYKES,STEVENSON,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,PETER EDMUND,VAN VUUREN,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,VICKY,KNOETZE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,ROSS KRIEL,PURDON,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,MARSHALL ROBERTO,VON BUCHENRODER,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,JACOBUS PETRUS JOHANNES,BOTHA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,CELESTE HELOISE,BARKER,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
DEMOCRATIC ALLIANCE,DORAH NOKONWABA,MATIKINCA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
ECONOMIC FREEDOM FIGHTERS,THEMBA,WELE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
ECONOMIC FREEDOM FIGHTERS,SIYABULELA MCANDY,PETER,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
UNITED DEMOCRATIC MOVEMENT,DONALD TAMSANQA,TSENGWA,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
UNITED DEMOCRATIC MOVEMENT,THANDO URSMOND,MPULU,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
UNITED DEMOCRATIC MOVEMENT,MASIZA MAXWELL,MHLATI,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
UNITED DEMOCRATIC MOVEMENT,IRENE NOMACHULE,QUVILE,Eastern Cape Provincial Legislature,Member,2014-05-21,future,Eastern Cape,,
ECONOMIC FREEDOM FIGHTERS,KEOBAKILE PHANUEL,BABUILE,North West Provincial Legislature,Member,2014-05-21,future,North West,Keobakile Babuile,072 860 8024
ECONOMIC FREEDOM FIGHTERS,BETTY KEDISALETSE,DIALE,North West Provincial Legislature,Member,2014-05-21,future,North West,Betty Diale,084 051 1213
AFRICAN NATIONAL CONGRESS,NDLELENI MOSES,DUMA,North West Provincial Legislature,Member,2014-05-21,future,North West,,071 137 5651
AFRICAN NATIONAL CONGRESS,BOIKANYO RAYMOND,ELISHA,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 074 5704
DEMOCRATIC ALLIANCE,TUTU LAWRENCE,FALENI,North West Provincial Legislature,Member,2014-05-21,future,North West,,083 550 8159 / 078 060 6488
AFRICAN NATIONAL CONGRESS,GOATLHOTSEMANG HOFFMAN,GALENG,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 771 1351
AFRICAN NATIONAL CONGRESS,GALALETSANG FENNY,GAOLAOLWE,North West Provincial Legislature,Member,2014-05-21,future,North West,,072 561 0797
DEMOCRATIC ALLIANCE,CHRISTIAN,HATTINGH,North West Provincial Legislature,Member,2014-05-21,future,North West,Chris Hattingh,083 625 7426
AFRICAN NATIONAL CONGRESS,MOTHIBEDI GORDON,KEGAKILWE,North West Provincial Legislature,Member,2014-05-21,future,North West,,071 362 3097
ECONOMIC FREEDOM FIGHTERS,NOMBONISO ANNIE,KLAAS-HARMAN,North West Provincial Legislature,Member,2014-05-21,future,North West,Nomboniso Klaas-Harman,073 567 1766
AFRICAN NATIONAL CONGRESS,RAPHAEL LEROI,MAHLAKENG,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 312 8966
AFRICAN NATIONAL CONGRESS,SUPRA OBAKENG RAMOELETSI,MAHUMAPELO,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 308 5860
AFRICAN NATIONAL CONGRESS,MOKONE COLLEN,MAINE,North West Provincial Legislature,Member,2014-05-21,future,North West,,076 409 4202
AFRICAN NATIONAL CONGRESS,PATRICK DUMILE NONO,MALOYI,North West Provincial Legislature,Member,2014-05-21,future,North West,,076 062 5950
AFRICAN NATIONAL CONGRESS,JANE,MANGANYE,North West Provincial Legislature,Member,2014-05-21,future,North West,,071 674 1184
ECONOMIC FREEDOM FIGHTERS,JOHANNES BILLYBOY,MASHIFANE,North West Provincial Legislature,Member,2014-05-21,future,North West,Billyboy Mashifane,081 816 4077
AFRICAN NATIONAL CONGRESS,MAGOME ALBANOS,MASIKE,North West Provincial Legislature,Member,2014-05-21,future,North West,,083 700 4443
AFRICAN NATIONAL CONGRESS,MMAPHEFO LUCY,MATSEMELA,North West Provincial Legislature,Member,2014-05-21,future,North West,,073 476 2142
AFRICAN NATIONAL CONGRESS,TEBOGO CONSTANCE,MODISE,North West Provincial Legislature,Member,2014-05-21,future,North West,,079 698 7300
AFRICAN NATIONAL CONGRESS,THANDI RUTH,MODISE,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 520 3500
AFRICAN NATIONAL CONGRESS,SEBONTA FRANCINAH DESBO,MOHONO,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 526 2373
AFRICAN NATIONAL CONGRESS,BOITUMELO THEODORA,MOILOA,North West Provincial Legislature,Member,2014-05-21,future,North West,,078 464 3231
AFRICAN NATIONAL CONGRESS,GAOAGE OAGENG,MOLAPISI,North West Provincial Legislature,Member,2014-05-21,future,North West,,073 160 1766
ECONOMIC FREEDOM FIGHTERS,ALFRED NORMAN,MOTSI,North West Provincial Legislature,Member,2014-05-21,future,North West,Alfred Motsi,083 431 4151
DEMOCRATIC ALLIANCE,SELLO PETRUS,MOTSWENYANE,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 627 0995
AFRICAN NATIONAL CONGRESS,WENDY JOY,NELSON,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 871 4273
AFRICAN NATIONAL CONGRESS,NTEBALENG JEANNETE,NYATHI,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 855 3249
AFRICAN NATIONAL CONGRESS,MOTLALEPULA ZIPHORA,ROSHO,North West Provincial Legislature,Member,2014-05-21,future,North West,,083 289 2872
AFRICAN NATIONAL CONGRESS,MADODA,SAMBATHA,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 800 5336
VRYHEIDSFRONT PLUS,JOHANNES FRANCOIS,SCHUTTE,North West Provincial Legislature,Member,2014-05-21,future,North West,,079 838 6587
DEMOCRATIC ALLIANCE,JACQUELINE RACHELLE,THEOLOGO,North West Provincial Legislature,Member,2014-05-21,future,North West,,082 897 9877
AFRICAN NATIONAL CONGRESS,MANKETSI MAMOABI EMILY,TLHAPE,North West Provincial Legislature,Member,2014-05-21,future,North West,,076 373 9244
AFRICAN NATIONAL CONGRESS,SUSSANA REBECCA,TSEBE,North West Provincial Legislature,Member,2014-05-21,future,North West,,076 037 5634
AFRICAN NATIONAL CONGRESS,CAROL FRANCES,BEERWINKEL,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
DEMOCRATIC ALLIANCE,THEUNIS LOUIS,BOTHA,Western Cape Provincial Legislature,Member,2014-05-21,future,Western Cape,,
